onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT
6.0365	0.9677	1	15	6	1	COCO_train2014_000000055294.jpg	coco	6.0365	7.0042	2	2.6412
16.0119	0.9841	1	15	6	2	n07760859_5424.JPEG	imagenet	16.0119	16.9959	2	2.0396
26.0035	1.0008	1	15	6	3	n02280649_6762.JPEG	imagenet	26.0035	27.0043	1	1.9700
36.0119	0.9842	1	15	6	4	bleachers7.jpg	scenes	36.0119	36.9961	3	3.1933
46.0036	1.0008	1	15	6	5	COCO_train2014_000000193318.jpg	coco	46.0036	47.0044	2	2.5134
56.0120	0.9841	1	15	6	6	n02992529_4954.JPEG	imagenet	56.0120	56.9961	3	3.6176
66.0037	1.0008	1	15	6	7	lightingstore4.jpg	scenes	66.0037	67.0045	1	1.4325
75.9952	1.0010	1	15	6	8	publicrestroom2.jpg	scenes	75.9952	76.9962	3	2.2895
86.0037	1.0009	1	15	6	9	n03944341_8299.JPEG	imagenet	86.0037	87.0046	2	2.8173
95.9952	1.0011	1	15	6	10	n02114548_19508.JPEG	imagenet	95.9952	96.9963	1	1.4092
106.0039	1.0008	1	15	6	11	n03786901_624.JPEG	imagenet	106.0039	107.0047	2	1.5611
115.9953	1.0011	1	15	6	12	COCO_train2014_000000326493.jpg	coco	115.9953	116.9964	2	1.4649
126.0040	1.0009	1	15	6	13	COCO_train2014_000000345149.jpg	coco	126.0040	127.0048	3	5.1206
135.9954	1.0011	1	15	6	14	COCO_train2014_000000039196.jpg	coco	135.9954	136.9965	1	1.7526
146.0040	1.0009	1	15	6	15	n02488291_3871.JPEG	imagenet	146.0040	147.0049	1	1.1845
155.9955	1.0011	1	15	6	16	COCO_train2014_000000357926.jpg	coco	155.9955	156.9966	1	3.6323
166.0042	1.0008	1	15	6	17	COCO_train2014_000000012501.jpg	coco	166.0042	167.0050	3	1.8642
175.9961	1.0006	1	15	6	18	COCO_train2014_000000077686.jpg	coco	175.9961	176.9967	2	2.8641
186.0043	1.0008	1	15	6	19	squashcourt4.jpg	scenes	186.0043	187.0051	2	1.7200
195.9963	1.0005	1	15	6	20	n04039381_11426.JPEG	imagenet	195.9963	196.9968	2	3.0318
206.0051	1.0001	1	15	6	21	checkoutcounter7.jpg	scenes	206.0051	207.0052	3	2.9758
215.9963	1.0007	1	15	6	22	n03670208_2112.JPEG	imagenet	215.9963	216.9969	3	1.3517
226.0049	1.0004	1	15	6	23	n02112018_4088.JPEG	imagenet	226.0049	227.0053	1	1.4636
235.9962	1.0008	1	15	6	24	COCO_train2014_000000205875.jpg	coco	235.9962	236.9971	2	2.5193
246.0046	1.0008	1	15	6	25	COCO_train2014_000000109971.jpg	coco	246.0046	247.0054	2	2.9352
255.9964	1.0008	1	15	6	26	COCO_train2014_000000479035.jpg	rep_coco	255.9964	256.9971	1	1.3111
266.0051	1.0004	1	15	6	27	COCO_train2014_000000188660.jpg	coco	266.0051	267.0055	2	3.0309
275.9964	1.0008	1	15	6	28	n07749582_23405.JPEG	imagenet	275.9964	276.9972	2	1.3270
286.0051	1.0005	1	15	6	29	n04044716_4079.JPEG	rep_imagenet	286.0051	287.0056	3	1.6468
295.9965	1.0008	1	15	6	30	COCO_train2014_000000338693.jpg	coco	295.9965	296.9973	3	1.9347
306.0050	1.0007	1	15	6	31	pavilion3.jpg	scenes	306.0050	307.0057	2	2.2465
315.9966	1.0008	1	15	6	32	n03599486_3567.JPEG	imagenet	315.9966	316.9974	2	2.1584
326.0050	1.0008	1	15	6	33	COCO_train2014_000000280484.jpg	coco	326.0050	327.0058	2	7.0702
335.9967	1.0008	1	15	6	34	greenhouse2.jpg	scenes	335.9967	336.9975	1	1.3342
346.0051	1.0008	1	15	6	35	COCO_train2014_000000403535.jpg	coco	346.0051	347.0059	1	1.3420
355.9968	1.0008	1	15	6	36	n04033901_37771.JPEG	imagenet	355.9968	356.9976	2	5.5339
366.0052	1.0008	1	15	6	37	n02701002_703.JPEG	imagenet	366.0052	367.0060	1	5.5017
