onset	duration	Subj	Sess	Run	Trial	ImgName	ImgType	StimOn(s)	StimOff(s)	Response	RT	stim_file
6.0249	0.9844	1	7	5	1	elevatorOutside4.jpg	rep_scenes	6.0249	7.0093	1	3.3300	elevatorOutside4.jpg
16.0004	1.0006	1	7	5	2	COCO_train2014_000000474827.jpg	coco	16.0004	17.0011	2	1.7885	COCO_train2014_000000474827.jpg
26.0087	1.0006	1	7	5	3	COCO_train2014_000000030565.jpg	coco	26.0087	27.0093	1	1.6706	COCO_train2014_000000030565.jpg
36.0002	1.0008	1	7	5	4	n02410509_3576.JPEG	imagenet	36.0002	37.0011	1	1.4707	n02410509_3576.JPEG
46.0086	1.0008	1	7	5	5	COCO_train2014_000000326712.jpg	coco	46.0086	47.0095	2	3.2068	COCO_train2014_000000326712.jpg
56.0004	1.0007	1	7	5	6	n02808304_6420.JPEG	imagenet	56.0004	57.0012	1	3.2387	n02808304_6420.JPEG
66.0088	1.0008	1	7	5	7	n04251144_13296.JPEG	imagenet	66.0088	67.0095	2	3.4227	n04251144_13296.JPEG
76.0004	1.0008	1	7	5	8	COCO_train2014_000000135316.jpg	coco	76.0004	77.0013	2	2.3905	COCO_train2014_000000135316.jpg
86.0089	1.0008	1	7	5	9	COCO_train2014_000000461428.jpg	coco	86.0089	87.0097	2	5.6303	COCO_train2014_000000461428.jpg
96.0006	1.0008	1	7	5	10	COCO_train2014_000000192171.jpg	coco	96.0006	97.0014	1	1.3343	COCO_train2014_000000192171.jpg
106.0090	1.0008	1	7	5	11	COCO_train2014_000000576011.jpg	coco	106.0090	107.0098	1	1.3021	COCO_train2014_000000576011.jpg
116.0007	1.0008	1	7	5	12	COCO_train2014_000000023392.jpg	coco	116.0007	117.0015	2	3.4860	COCO_train2014_000000023392.jpg
126.0091	1.0008	1	7	5	13	stream_outdoor8.jpg	scenes	126.0091	127.0099	1	1.2619	stream_outdoor8.jpg
136.0008	1.0009	1	7	5	14	n02168699_3026.JPEG	imagenet	136.0008	137.0016	1	2.4297	n02168699_3026.JPEG
146.0092	1.0008	1	7	5	15	breakroom3.jpg	scenes	146.0092	147.0100	2	7.1415	breakroom3.jpg
156.0009	1.0009	1	7	5	16	n03461385_91813.JPEG	imagenet	156.0009	157.0017	3	2.2295	n03461385_91813.JPEG
166.0093	1.0008	1	7	5	17	n01693334_348.JPEG	imagenet	166.0093	167.0101	1	6.2849	n01693334_348.JPEG
176.0010	1.0008	1	7	5	18	n04532670_5168.JPEG	imagenet	176.0010	177.0019	2	1.3813	n04532670_5168.JPEG
186.0095	1.0008	1	7	5	19	n04259630_9316.JPEG	imagenet	186.0095	187.0103	2	5.1651	n04259630_9316.JPEG
196.0012	1.0008	1	7	5	20	waterfall_outdoor6.jpg	scenes	196.0012	197.0020	1	1.3170	waterfall_outdoor6.jpg
206.0096	1.0008	1	7	5	21	weightroom4.jpg	scenes	206.0096	207.0104	1	1.6369	weightroom4.jpg
216.0013	1.0008	1	7	5	22	COCO_train2014_000000230422.jpg	coco	216.0013	217.0021	1	1.3568	COCO_train2014_000000230422.jpg
226.0097	1.0008	1	7	5	23	n04005630_17549.JPEG	imagenet	226.0097	227.0105	3	1.9328	n04005630_17549.JPEG
236.0014	1.0008	1	7	5	24	COCO_train2014_000000078593.jpg	coco	236.0014	237.0022	1	1.5008	COCO_train2014_000000078593.jpg
246.0098	1.0008	1	7	5	25	n03602883_176.JPEG	imagenet	246.0098	247.0106	2	2.1484	n03602883_176.JPEG
256.0015	1.0008	1	7	5	26	stripmall3.jpg	scenes	256.0015	257.0023	3	1.9325	stripmall3.jpg
266.0099	1.0008	1	7	5	27	n02325366_7131.JPEG	imagenet	266.0099	267.0107	1	1.3322	n02325366_7131.JPEG
276.0016	1.0008	1	7	5	28	COCO_train2014_000000175751.jpg	coco	276.0016	277.0024	2	2.2441	COCO_train2014_000000175751.jpg
286.0100	1.0008	1	7	5	29	COCO_train2014_000000428691.jpg	rep_coco	286.0100	287.0108	1	4.2199	COCO_train2014_000000428691.jpg
296.0018	1.0008	1	7	5	30	n01682714_18221.JPEG	imagenet	296.0018	297.0025	1	3.4278	n01682714_18221.JPEG
306.0101	1.0008	1	7	5	31	COCO_train2014_000000334048.jpg	coco	306.0101	307.0109	1	1.3317	COCO_train2014_000000334048.jpg
316.0018	1.0008	1	7	5	32	COCO_train2014_000000354897.jpg	coco	316.0018	317.0026	1	6.0916	COCO_train2014_000000354897.jpg
326.0102	0.9844	1	7	5	33	clothingstore5.jpg	scenes	326.0102	326.9946	3	2.3876	clothingstore5.jpg
336.0019	1.0008	1	7	5	34	n02109047_3087.JPEG	imagenet	336.0019	337.0027	1	1.3955	n02109047_3087.JPEG
346.0103	0.9842	1	7	5	35	n04346328_27277.JPEG	imagenet	346.0103	346.9945	1	4.3072	n04346328_27277.JPEG
356.0020	1.0008	1	7	5	36	COCO_train2014_000000369253.jpg	coco	356.0020	357.0029	1	6.8111	COCO_train2014_000000369253.jpg
366.0105	0.9841	1	7	5	37	hotelRoom3.jpg	scenes	366.0105	366.9945	1	1.4911	hotelRoom3.jpg
